rule_id,city,zone,status,rule_object,constraint_type,constraint_scope,applies_to,operator,value,unit,condition,exception,source_page,evidence_id,evidence_quote,rule_sentence
burnaby_r1_036,Burnaby,R1,verified,lot_coverage,maximum,lot_coverage,Rowhouse 1 to 3 Units,<=,55,%,,,2,burnaby_r1_matrix_p2_t0_b0_008,Maximum Lot Coverage | All Buildings | Rowhouse 1 to 3 Units | 55%,Rowhouse 1 to 3 Units: lot coverage for lot coverage must be no more than 55 %.
burnaby_r1_037,Burnaby,R1,verified,lot_coverage,maximum,lot_coverage,Small-Scale Multi-Unit 1 to 2 Units,<=,40,%,Lots < 567 m2,,2,burnaby_r1_matrix_p2_t0_b1_009,"Maximum Lot Coverage | All Buildings | Small-Scale Multi-Unit 1 to 2 Units | Lots < 567 m2: 40%
Lots > 567 m2: 30%",Small-Scale Multi-Unit 1 to 2 Units: lot coverage for lot coverage must be no more than 40 % when Lots < 567 m2.
burnaby_r1_038,Burnaby,R1,verified,lot_coverage,maximum,lot_coverage,Small-Scale Multi-Unit 1 to 2 Units,<=,30,%,Lots > 567 m2,,2,burnaby_r1_matrix_p2_t0_b1_010,"Maximum Lot Coverage | All Buildings | Small-Scale Multi-Unit 1 to 2 Units | Lots < 567 m2: 40%
Lots > 567 m2: 30%",Small-Scale Multi-Unit 1 to 2 Units: lot coverage for lot coverage must be no more than 30 % when Lots > 567 m2.
burnaby_r1_039,Burnaby,R1,verified,lot_coverage,maximum,lot_coverage,Small-Scale Multi-Unit 3 to 4 Units,<=,40,%,,,2,burnaby_r1_matrix_p2_t0_b2_011,Maximum Lot Coverage | All Buildings | Small-Scale Multi-Unit 3 to 4 Units | 40%,Small-Scale Multi-Unit 3 to 4 Units: lot coverage for lot coverage must be no more than 40 %.
burnaby_r1_040,Burnaby,R1,verified,lot_coverage,maximum,lot_coverage,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,45,%,,,2,burnaby_r1_matrix_p2_t0_b3_012,Maximum Lot Coverage | All Buildings | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 45%,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only: lot coverage for lot coverage must be no more than 45 %.
burnaby_r1_041,Burnaby,R1,verified,impervious_surface,maximum,impervious_surface,Rowhouse 1 to 3 Units,<=,70,%,,,2,burnaby_r1_matrix_p2_t0_b0_013,Maximum Lot Coverage | Impervious Surfaces | Rowhouse 1 to 3 Units | 70%,Rowhouse 1 to 3 Units: impervious surface for impervious surface must be no more than 70 %.
burnaby_r1_042,Burnaby,R1,verified,impervious_surface,maximum,impervious_surface,Small-Scale Multi-Unit 1 to 2 Units,<=,60,%,,,2,burnaby_r1_matrix_p2_t0_b1_014,Maximum Lot Coverage | Impervious Surfaces | Small-Scale Multi-Unit 1 to 2 Units | 60%,Small-Scale Multi-Unit 1 to 2 Units: impervious surface for impervious surface must be no more than 60 %.
burnaby_r1_043,Burnaby,R1,verified,impervious_surface,maximum,impervious_surface,Small-Scale Multi-Unit 3 to 4 Units,<=,60,%,,,2,burnaby_r1_matrix_p2_t0_b2_015,Maximum Lot Coverage | Impervious Surfaces | Small-Scale Multi-Unit 3 to 4 Units | 60%,Small-Scale Multi-Unit 3 to 4 Units: impervious surface for impervious surface must be no more than 60 %.
burnaby_r1_044,Burnaby,R1,verified,impervious_surface,maximum,impervious_surface,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,70,%,,,2,burnaby_r1_matrix_p2_t0_b3_016,Maximum Lot Coverage | Impervious Surfaces | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 70%,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only: impervious surface for impervious surface must be no more than 70 %.
burnaby_r1_045,Burnaby,R1,verified,height,maximum,height,Rowhouse 1 to 3 Units,<=,10,m,sloping roof,,2,burnaby_r1_matrix_p2_t0_b0_017,Maximum Height | Front Principal Buildings | Height | Rowhouse 1 to 3 Units | sloping roof: 10 m | flat roof: 9.5 m,Rowhouse 1 to 3 Units: height for height must be no more than 10 m when sloping roof.
burnaby_r1_046,Burnaby,R1,verified,height,maximum,height,Rowhouse 1 to 3 Units,<=,9.5,m,flat roof,,2,burnaby_r1_matrix_p2_t0_b0_018,Maximum Height | Front Principal Buildings | Height | Rowhouse 1 to 3 Units | sloping roof: 10 m | flat roof: 9.5 m,Rowhouse 1 to 3 Units: height for height must be no more than 9.5 m when flat roof.
burnaby_r1_047,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 1 to 2 Units,<=,10,m,sloping roof,,2,burnaby_r1_matrix_p2_t0_b1_019,Maximum Height | Front Principal Buildings | Height | Small-Scale Multi-Unit 1 to 2 Units | sloping roof: 10 m | flat roof: 9.5 m,Small-Scale Multi-Unit 1 to 2 Units: height for height must be no more than 10 m when sloping roof.
burnaby_r1_048,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 1 to 2 Units,<=,9.5,m,flat roof,,2,burnaby_r1_matrix_p2_t0_b1_020,Maximum Height | Front Principal Buildings | Height | Small-Scale Multi-Unit 1 to 2 Units | sloping roof: 10 m | flat roof: 9.5 m,Small-Scale Multi-Unit 1 to 2 Units: height for height must be no more than 9.5 m when flat roof.
burnaby_r1_049,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 3 to 4 Units,<=,10,m,sloping roof,,2,burnaby_r1_matrix_p2_t0_b2_021,Maximum Height | Front Principal Buildings | Height | Small-Scale Multi-Unit 3 to 4 Units | sloping roof: 10 m | flat roof: 9.5 m,Small-Scale Multi-Unit 3 to 4 Units: height for height must be no more than 10 m when sloping roof.
burnaby_r1_050,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 3 to 4 Units,<=,9.5,m,flat roof,,2,burnaby_r1_matrix_p2_t0_b2_022,Maximum Height | Front Principal Buildings | Height | Small-Scale Multi-Unit 3 to 4 Units | sloping roof: 10 m | flat roof: 9.5 m,Small-Scale Multi-Unit 3 to 4 Units: height for height must be no more than 9.5 m when flat roof.
burnaby_r1_051,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,10,m,sloping roof,,2,burnaby_r1_matrix_p2_t0_b3_023,Maximum Height | Front Principal Buildings | Height | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | sloping roof: 10 m | flat roof: 9.5 m,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only: height for height must be no more than 10 m when sloping roof.
burnaby_r1_052,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,9.5,m,flat roof,,2,burnaby_r1_matrix_p2_t0_b3_024,Maximum Height | Front Principal Buildings | Height | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | sloping roof: 10 m | flat roof: 9.5 m,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only: height for height must be no more than 9.5 m when flat roof.
burnaby_r1_053,Burnaby,R1,verified,storeys,maximum,storeys,Rowhouse 1 to 3 Units,<=,3,storeys,,,2,burnaby_r1_matrix_p2_t0_b0_025,Maximum Height | Front Principal Buildings | Storeys (basement inclusive) | Rowhouse 1 to 3 Units | 3 storeys,Rowhouse 1 to 3 Units: storeys for storeys must be no more than 3 storeys.
burnaby_r1_054,Burnaby,R1,verified,storeys,maximum,storeys,Small-Scale Multi-Unit 1 to 2 Units,<=,2.5,storeys,,,2,burnaby_r1_matrix_p2_t0_b1_026,Maximum Height | Front Principal Buildings | Storeys (basement inclusive) | Small-Scale Multi-Unit 1 to 2 Units | 2.5 storeys,Small-Scale Multi-Unit 1 to 2 Units: storeys for storeys must be no more than 2.5 storeys.
burnaby_r1_055,Burnaby,R1,verified,storeys,maximum,storeys,Small-Scale Multi-Unit 3 to 4 Units,<=,3,storeys,,,2,burnaby_r1_matrix_p2_t0_b2_027,Maximum Height | Front Principal Buildings | Storeys (basement inclusive) | Small-Scale Multi-Unit 3 to 4 Units | 3 storeys,Small-Scale Multi-Unit 3 to 4 Units: storeys for storeys must be no more than 3 storeys.
burnaby_r1_056,Burnaby,R1,verified,storeys,maximum,storeys,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,3,storeys,,,2,burnaby_r1_matrix_p2_t0_b3_028,Maximum Height | Front Principal Buildings | Storeys (basement inclusive) | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 3 storeys,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only: storeys for storeys must be no more than 3 storeys.
burnaby_r1_057,Burnaby,R1,verified,height,maximum,height,Rowhouse 1 to 3 Units,<=,7.5,m,sloping roof,,2,burnaby_r1_matrix_p2_t0_b0_029,Maximum Height | Rear Principal Buildings | Height | Rowhouse 1 to 3 Units | sloping roof: 7.5 m | flat roof: 7.0 m,Rowhouse 1 to 3 Units: height for height must be no more than 7.5 m when sloping roof.
burnaby_r1_058,Burnaby,R1,verified,height,maximum,height,Rowhouse 1 to 3 Units,<=,7.0,m,flat roof,,2,burnaby_r1_matrix_p2_t0_b0_030,Maximum Height | Rear Principal Buildings | Height | Rowhouse 1 to 3 Units | sloping roof: 7.5 m | flat roof: 7.0 m,Rowhouse 1 to 3 Units: height for height must be no more than 7.0 m when flat roof.
burnaby_r1_059,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 1 to 2 Units,<=,7.5,m,sloping roof,,2,burnaby_r1_matrix_p2_t0_b1_031,Maximum Height | Rear Principal Buildings | Height | Small-Scale Multi-Unit 1 to 2 Units | sloping roof: 7.5 m | flat roof: 7.0 m,Small-Scale Multi-Unit 1 to 2 Units: height for height must be no more than 7.5 m when sloping roof.
burnaby_r1_060,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 1 to 2 Units,<=,7.0,m,flat roof,,2,burnaby_r1_matrix_p2_t0_b1_032,Maximum Height | Rear Principal Buildings | Height | Small-Scale Multi-Unit 1 to 2 Units | sloping roof: 7.5 m | flat roof: 7.0 m,Small-Scale Multi-Unit 1 to 2 Units: height for height must be no more than 7.0 m when flat roof.
burnaby_r1_061,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 3 to 4 Units,<=,7.5,m,sloping roof,,2,burnaby_r1_matrix_p2_t0_b2_033,Maximum Height | Rear Principal Buildings | Height | Small-Scale Multi-Unit 3 to 4 Units | sloping roof: 7.5 m | flat roof: 7.0 m,Small-Scale Multi-Unit 3 to 4 Units: height for height must be no more than 7.5 m when sloping roof.
burnaby_r1_062,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 3 to 4 Units,<=,7.0,m,flat roof,,2,burnaby_r1_matrix_p2_t0_b2_034,Maximum Height | Rear Principal Buildings | Height | Small-Scale Multi-Unit 3 to 4 Units | sloping roof: 7.5 m | flat roof: 7.0 m,Small-Scale Multi-Unit 3 to 4 Units: height for height must be no more than 7.0 m when flat roof.
burnaby_r1_063,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,7.5,m,sloping roof,,2,burnaby_r1_matrix_p2_t0_b3_035,Maximum Height | Rear Principal Buildings | Height | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | sloping roof: 7.5 m | flat roof: 7.0 m,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only: height for height must be no more than 7.5 m when sloping roof.
burnaby_r1_064,Burnaby,R1,verified,height,maximum,height,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,7.0,m,flat roof,,2,burnaby_r1_matrix_p2_t0_b3_036,Maximum Height | Rear Principal Buildings | Height | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | sloping roof: 7.5 m | flat roof: 7.0 m,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only: height for height must be no more than 7.0 m when flat roof.
burnaby_r1_065,Burnaby,R1,verified,storeys,maximum,storeys,Rowhouse 1 to 3 Units,<=,2,storeys,,,2,burnaby_r1_matrix_p2_t0_b0_037,Maximum Height | Rear Principal Buildings | Storeys (basement inclusive) | Rowhouse 1 to 3 Units | 2 storeys,Rowhouse 1 to 3 Units: storeys for storeys must be no more than 2 storeys.
burnaby_r1_066,Burnaby,R1,verified,storeys,maximum,storeys,Small-Scale Multi-Unit 1 to 2 Units,<=,2,storeys,,,2,burnaby_r1_matrix_p2_t0_b1_038,Maximum Height | Rear Principal Buildings | Storeys (basement inclusive) | Small-Scale Multi-Unit 1 to 2 Units | 2 storeys,Small-Scale Multi-Unit 1 to 2 Units: storeys for storeys must be no more than 2 storeys.
burnaby_r1_067,Burnaby,R1,verified,storeys,maximum,storeys,Small-Scale Multi-Unit 3 to 4 Units,<=,2,storeys,,,2,burnaby_r1_matrix_p2_t0_b2_039,Maximum Height | Rear Principal Buildings | Storeys (basement inclusive) | Small-Scale Multi-Unit 3 to 4 Units | 2 storeys,Small-Scale Multi-Unit 3 to 4 Units: storeys for storeys must be no more than 2 storeys.
burnaby_r1_068,Burnaby,R1,verified,storeys,maximum,storeys,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,2,storeys,,,2,burnaby_r1_matrix_p2_t0_b3_040,Maximum Height | Rear Principal Buildings | Storeys (basement inclusive) | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 2 storeys,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only: storeys for storeys must be no more than 2 storeys.
burnaby_r1_069,Burnaby,R1,verified,height,maximum,height,Accessory Buildings,<=,4.0,m,,,2,burnaby_r1_matrix_p2_t0_b0_041,Maximum Height | Rear Principal Buildings | Accessory Buildings | Rowhouse 1 to 3 Units | 4.0 m | 1 storey,Accessory Buildings: height for height must be no more than 4.0 m.
burnaby_r1_070,Burnaby,R1,verified,storeys,maximum,storeys,Accessory Buildings,<=,1,storeys,,,2,burnaby_r1_matrix_p2_t0_b0_042,Maximum Height | Rear Principal Buildings | Accessory Buildings | Rowhouse 1 to 3 Units | 4.0 m | 1 storey,Accessory Buildings: storeys for storeys must be no more than 1 storeys.
burnaby_r1_071,Burnaby,R1,verified,height,maximum,height,Accessory Buildings,<=,4.0,m,,,2,burnaby_r1_matrix_p2_t0_b1_043,Maximum Height | Rear Principal Buildings | Accessory Buildings | Small-Scale Multi-Unit 1 to 2 Units | 4.0 m | 1 storey,Accessory Buildings: height for height must be no more than 4.0 m.
burnaby_r1_072,Burnaby,R1,verified,storeys,maximum,storeys,Accessory Buildings,<=,1,storeys,,,2,burnaby_r1_matrix_p2_t0_b1_044,Maximum Height | Rear Principal Buildings | Accessory Buildings | Small-Scale Multi-Unit 1 to 2 Units | 4.0 m | 1 storey,Accessory Buildings: storeys for storeys must be no more than 1 storeys.
burnaby_r1_073,Burnaby,R1,verified,height,maximum,height,Accessory Buildings,<=,4.0,m,,,2,burnaby_r1_matrix_p2_t0_b2_045,Maximum Height | Rear Principal Buildings | Accessory Buildings | Small-Scale Multi-Unit 3 to 4 Units | 4.0 m | 1 storey,Accessory Buildings: height for height must be no more than 4.0 m.
burnaby_r1_074,Burnaby,R1,verified,storeys,maximum,storeys,Accessory Buildings,<=,1,storeys,,,2,burnaby_r1_matrix_p2_t0_b2_046,Maximum Height | Rear Principal Buildings | Accessory Buildings | Small-Scale Multi-Unit 3 to 4 Units | 4.0 m | 1 storey,Accessory Buildings: storeys for storeys must be no more than 1 storeys.
burnaby_r1_075,Burnaby,R1,verified,height,maximum,height,Accessory Buildings,<=,4.0,m,,,2,burnaby_r1_matrix_p2_t0_b3_047,Maximum Height | Rear Principal Buildings | Accessory Buildings | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 4.0 m | 1 storey,Accessory Buildings: height for height must be no more than 4.0 m.
burnaby_r1_076,Burnaby,R1,verified,storeys,maximum,storeys,Accessory Buildings,<=,1,storeys,,,2,burnaby_r1_matrix_p2_t0_b3_048,Maximum Height | Rear Principal Buildings | Accessory Buildings | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 4.0 m | 1 storey,Accessory Buildings: storeys for storeys must be no more than 1 storeys.
burnaby_r1_077,Burnaby,R1,verified,setback,minimum,setback,All Buildings,>=,3.0,m,,,2,burnaby_r1_matrix_p2_t0_b0_049,Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | Rowhouse 1 to 3 Units | 3.0 m,All Buildings: setback for setback must be at least 3.0 m.
burnaby_r1_078,Burnaby,R1,verified,setback,minimum,street_yard_front,All Buildings,>=,4.0,m,front,,2,burnaby_r1_matrix_p2_t0_b1_050,Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | Small-Scale Multi-Unit 1 to 2 Units | front: 4.0 m | flanking: 3.0 m,All Buildings: setback for street yard front must be at least 4.0 m when front.
burnaby_r1_079,Burnaby,R1,verified,setback,minimum,street_yard_flanking,All Buildings,>=,3.0,m,flanking,,2,burnaby_r1_matrix_p2_t0_b1_051,Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | Small-Scale Multi-Unit 1 to 2 Units | front: 4.0 m | flanking: 3.0 m,All Buildings: setback for street yard flanking must be at least 3.0 m when flanking.
burnaby_r1_080,Burnaby,R1,verified,setback,minimum,street_yard_front,All Buildings,>=,4.0,m,front,,2,burnaby_r1_matrix_p2_t0_b2_052,Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | Small-Scale Multi-Unit 3 to 4 Units | front: 4.0 m | flanking: 3.0 m,All Buildings: setback for street yard front must be at least 4.0 m when front.
burnaby_r1_081,Burnaby,R1,verified,setback,minimum,street_yard_flanking,All Buildings,>=,3.0,m,flanking,,2,burnaby_r1_matrix_p2_t0_b2_053,Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | Small-Scale Multi-Unit 3 to 4 Units | front: 4.0 m | flanking: 3.0 m,All Buildings: setback for street yard flanking must be at least 3.0 m when flanking.
burnaby_r1_082,Burnaby,R1,verified,setback,minimum,street_yard_front,All Buildings,>=,4.0,m,front,,2,burnaby_r1_matrix_p2_t0_b3_054,Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | front: 4.0 m | flanking: 3.0 m,All Buildings: setback for street yard front must be at least 4.0 m when front.
burnaby_r1_083,Burnaby,R1,verified,setback,minimum,street_yard_flanking,All Buildings,>=,3.0,m,flanking,,2,burnaby_r1_matrix_p2_t0_b3_055,Minimum Lot Line Setbacks for All Buildings .2 .3 | Street Yard | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | front: 4.0 m | flanking: 3.0 m,All Buildings: setback for street yard flanking must be at least 3.0 m when flanking.
burnaby_r1_084,Burnaby,R1,verified,setback,minimum,lane_yard,All Buildings,>=,1.5,m,,,2,burnaby_r1_matrix_p2_t0_b0_056,Minimum Lot Line Setbacks for All Buildings .2 .3 | Lane Yard | Rowhouse 1 to 3 Units | 1.5 m,All Buildings: setback for lane yard must be at least 1.5 m.
burnaby_r1_085,Burnaby,R1,verified,setback,minimum,lane_yard,All Buildings,>=,1.5,m,,,2,burnaby_r1_matrix_p2_t0_b1_057,Minimum Lot Line Setbacks for All Buildings .2 .3 | Lane Yard | Small-Scale Multi-Unit 1 to 2 Units | 1.5 m,All Buildings: setback for lane yard must be at least 1.5 m.
burnaby_r1_086,Burnaby,R1,verified,setback,minimum,lane_yard,All Buildings,>=,1.5,m,,,2,burnaby_r1_matrix_p2_t0_b2_058,Minimum Lot Line Setbacks for All Buildings .2 .3 | Lane Yard | Small-Scale Multi-Unit 3 to 4 Units | 1.5 m,All Buildings: setback for lane yard must be at least 1.5 m.
burnaby_r1_087,Burnaby,R1,verified,setback,minimum,lane_yard,All Buildings,>=,1.5,m,,,2,burnaby_r1_matrix_p2_t0_b3_059,Minimum Lot Line Setbacks for All Buildings .2 .3 | Lane Yard | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 1.5 m,All Buildings: setback for lane yard must be at least 1.5 m.
burnaby_r1_089,Burnaby,R1,verified,setback,minimum,setback,All Buildings,>=,3.0,m,,,2,burnaby_r1_matrix_p2_t0_b1_061,"Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Rear Yard | Small-Scale Multi-Unit 1 to 2 Units | 3.0 m, except 1.5 m for accessory buildings",All Buildings: setback for setback must be at least 3.0 m.
burnaby_r1_090,Burnaby,R1,verified,setback,minimum,setback,All Buildings,>=,3.0,m,,,2,burnaby_r1_matrix_p2_t0_b2_062,"Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Rear Yard | Small-Scale Multi-Unit 3 to 4 Units | 3.0 m, except 1.5 m for accessory buildings",All Buildings: setback for setback must be at least 3.0 m.
burnaby_r1_091,Burnaby,R1,verified,setback,minimum,setback,All Buildings,>=,3.0,m,,,2,burnaby_r1_matrix_p2_t0_b3_063,"Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Rear Yard | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 3.0 m, except 1.5 m for accessory buildings",All Buildings: setback for setback must be at least 3.0 m.
burnaby_r1_093,Burnaby,R1,verified,setback,minimum,setback,All Buildings,>=,1.2,m,,,2,burnaby_r1_matrix_p2_t0_b1_065,Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | Small-Scale Multi-Unit 1 to 2 Units | 1.2 m,All Buildings: setback for setback must be at least 1.2 m.
burnaby_r1_094,Burnaby,R1,verified,setback,minimum,setback,All Buildings,>=,1.2,m,,,2,burnaby_r1_matrix_p2_t0_b2_066,Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | Small-Scale Multi-Unit 3 to 4 Units | 1.2 m,All Buildings: setback for setback must be at least 1.2 m.
burnaby_r1_095,Burnaby,R1,verified,setback,minimum,setback,All Buildings,>=,1.2,m,,,2,burnaby_r1_matrix_p2_t0_b3_067,Minimum Lot Line Setbacks for All Buildings .2 .3 | Interior Side Yard | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 1.2 m,All Buildings: setback for setback must be at least 1.2 m.
burnaby_r1_096,Burnaby,R1,verified,building_separation,minimum,building_separation,Small-Scale Multi-Unit 1 to 2 Units,>=,2.4,m,,,2,burnaby_r1_matrix_p2_t0_b1_068,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front Principals | Small-Scale Multi-Unit 1 to 2 Units | 2.4 m,Small-Scale Multi-Unit 1 to 2 Units: building separation for building separation must be at least 2.4 m.
burnaby_r1_097,Burnaby,R1,verified,building_separation,minimum,building_separation,Small-Scale Multi-Unit 3 to 4 Units,>=,2.4,m,,,2,burnaby_r1_matrix_p2_t0_b2_069,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front Principals | Small-Scale Multi-Unit 3 to 4 Units | 2.4 m,Small-Scale Multi-Unit 3 to 4 Units: building separation for building separation must be at least 2.4 m.
burnaby_r1_098,Burnaby,R1,verified,building_separation,minimum,building_separation,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,>=,2.4,m,,,2,burnaby_r1_matrix_p2_t0_b3_070,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front Principals | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 2.4 m,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only: building separation for building separation must be at least 2.4 m.
burnaby_r1_099,Burnaby,R1,verified,building_separation,minimum,building_separation,Rear Principal Buildings,>=,2.4,m,,,2,burnaby_r1_matrix_p2_t0_b1_071,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Rear Principals | Small-Scale Multi-Unit 1 to 2 Units | 2.4 m,Rear Principal Buildings: building separation for building separation must be at least 2.4 m.
burnaby_r1_100,Burnaby,R1,verified,building_separation,minimum,building_separation,Rear Principal Buildings,>=,2.4,m,,,2,burnaby_r1_matrix_p2_t0_b2_072,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Rear Principals | Small-Scale Multi-Unit 3 to 4 Units | 2.4 m,Rear Principal Buildings: building separation for building separation must be at least 2.4 m.
